2015-06-16 15:43:29 - PHP Warning:  fopen(C:\server\www\vaj_form/download/test): failed to open stream: No such file or directory in C:\server\www\vaj_form\app\controller\common\home.php on line 87
2015-06-16 15:43:29 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 89
2015-06-16 15:43:29 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 91
2015-06-16 15:43:29 - PHP Warning:  sprintf(): Too few arguments in C:\server\www\vaj_form\app\controller\common\home.php on line 94
2015-06-16 15:43:29 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\common\home.php on line 136 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 15:43:29 - PHP Notice:  Undefined variable: home in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 51
2015-06-16 15:43:29 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\common\home.php on line 248 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 15:43:29 - PHP Notice:  Undefined index: mohallah_id in C:\server\www\vaj_form\app\model\common\home.php on line 17
2015-06-16 15:43:29 - PHP Notice:  Undefined index: mohallah_id in C:\server\www\vaj_form\app\model\common\home.php on line 31
2015-06-16 15:43:32 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\setup\form_printing.php on line 35 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 15:43:32 - PHP Notice:  Undefined variable: home in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 51
2015-06-16 15:43:41 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\setup\form_printing.php on line 270 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-06-16 16:46:56 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:46:56 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:47:11 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:47:11 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:47:34 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:47:34 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:47:49 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:47:49 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:48:04 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:48:04 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:48:31 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:48:31 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:48:37 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:48:37 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:48:38 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:48:38 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:48:46 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:48:46 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:49:14 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:49:14 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:50:05 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-06-16 16:50:05 - PHP Notice:  Undefined index: token in C:\server\www\vaj_form\app\controller\common\footer.php on line 5
2015-06-16 16:50:48 - PHP Notice:  Undefined index: employee_id in C:\server\www\vaj_form\system\library\user.php on line 48
2015-06-16 16:50:48 - PHP Warning:  fopen(C:\server\www\vaj_form/image/cache/test): failed to open stream: No such file or directory in C:\server\www\vaj_form\app\controller\common\home.php on line 53
2015-06-16 16:50:48 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 55
